State,Window,Lag_days,Correlation
Madhya Pradesh,14,21,0.02300064207751725
Madhya Pradesh,14,28,-0.010060492957514777
Maharashtra,14,0,0.02975273545915306
Maharashtra,14,7,-0.014686633563837283
Maharashtra,14,14,-0.05339194469528079
Maharashtra,14,21,-0.08280699842214338
Maharashtra,14,28,-0.10637870849241554
Manipur,14,0,0.11142371918143099
Manipur,14,7,-0.055145439332286335
Manipur,14,14,-0.22744629430679725
Manipur,14,21,-0.3445111849251984
Manipur,14,28,-0.3826646178334803
Meghalaya,14,0,0.08389130151419479
Meghalaya,14,7,0.04367544551301065
Meghalaya,14,14,-0.022006708627170756
Meghalaya,14,21,-0.09861741732073354
Meghalaya,14,28,-0.17683703640204584
Mizoram,14,0,0.12063717245119437
Mizoram,14,7,0.07526794333724927
Mizoram,14,14,0.04120320144934195
Mizoram,14,21,0.013216246380717831
Mizoram,14,28,0.0006136250368729333
Nagaland,14,0,0.0001829666046794854
Nagaland,14,7,0.03833364132162536
Nagaland,14,14,0.02861311986571513
Nagaland,14,21,-0.01766458458398151
Nagaland,14,28,-0.06600990440499824
Odisha,14,0,-0.018580993086876663
Odisha,14,7,0.0367173502026304
Odisha,14,14,0.07356146816794924
Odisha,14,21,0.08837266777234508
Odisha,14,28,0.07212296263226166
Puducherry,14,0,-0.0023546387743268496
Puducherry,14,7,0.0432451104227871
Puducherry,14,14,0.05748583387316844
Puducherry,14,21,0.05355284227630348
Puducherry,14,28,0.030687724166168242
Punjab,14,0,-0.0608112029007928
Punjab,14,7,-0.06207583919033673
Punjab,14,14,-0.08347202202358918
Punjab,14,21,-0.11698210524937915
Punjab,14,28,-0.1469719656092527
Rajasthan,14,0,0.09378885684687689
Rajasthan,14,7,0.11950886223303957
Rajasthan,14,14,0.11567841767589354
Rajasthan,14,21,0.07468193945194607
Rajasthan,14,28,0.021149615888092783
Sikkim,14,0,0.015599696526652461
Sikkim,14,7,0.09809886573883406
Sikkim,14,14,0.11822697612105117
Sikkim,14,21,0.0774845220708708
Sikkim,14,28,0.018541826866653968
Tamil Nadu,14,0,-0.07294486438639594
Tamil Nadu,14,7,-0.038460825973979235
Tamil Nadu,14,14,-0.010399489133563512
Tamil Nadu,14,21,0.0033491114553296955
Tamil Nadu,14,28,0.013049360481259981
Telangana,14,0,0.05079866730041662
Telangana,14,7,-0.00987279222002767
Telangana,14,14,-0.07502856611053581
Telangana,14,21,-0.10652061431430773
Telangana,14,28,-0.10816028510732287
Tripura,14,0,-0.0024378262771213156
Tripura,14,7,0.08091602839154811
Tripura,14,14,0.11759373282747251
Tripura,14,21,0.07144383855392611
Tripura,14,28,-0.012264998827044118
Uttar Pradesh,14,0,0.026473169868216056
Uttar Pradesh,14,7,0.020019725825544316
Uttar Pradesh,14,14,0.0007090422176975166
Uttar Pradesh,14,21,-0.02010703719744024
Uttar Pradesh,14,28,-0.04474235452704492
Uttarakhand,14,0,0.05007463715343797
Uttarakhand,14,7,0.04133518338845177
Uttarakhand,14,14,0.029858641848827125
Uttarakhand,14,21,0.006584302320281398
Uttarakhand,14,28,-0.031485944478023394
West Bengal,14,0,0.02978722381652113
West Bengal,14,7,0.040713586283867266
West Bengal,14,14,0.037782608292343825
West Bengal,14,21,0.02408033786559961
West Bengal,14,28,0.008432940117704677
